ss1,ss2,ss3
5.074335734950582e-5,2.2820816859509438e-5,1.6102009752804684e-6
5.2128506933056504e-6,8.119692060783006e-6,1.0466354200437771e-5
4.0032389298578073e-5,2.6619850012100576e-5,1.477479658061845e-5
1.9949514975286093e-5,4.708007277993541e-5,1.7237667389528574e-5
1.2145822590042694e-6,1.2194617360584158e-5,4.687914737788318e-5
2.456961026713787e-5,3.6268376226383935e-5,6.0834075188934594e-5
1.599192185508642e-5,2.742853186194092e-5,4.4309869257266975e-5
3.218999183885148e-5,2.9290594162979717e-5,2.6378570777513728e-5
3.88595736778142e-6,3.130516681056029e-5,1.7869047491183887e-6
1.4936584325697136e-5,8.766398376133713e-7,2.840357649585896e-5
7.366330455845181e-7,1.9386132094261684e-5,5.6175513138508955e-6
2.768804242601902e-5,1.3730745838690996e-5,1.574717404678489e-6
4.353316290847646e-6,1.3253098138983575e-5,2.0376320564753883e-5
2.5338957939691807e-5,1.225129139313136e-7,9.00371072133818e-6
1.422756200467405e-5,1.659195372122972e-5,9.307129706104268e-6
1.7457811680693736e-5,1.3007537659317409e-5,2.1339532319534366e-5
2.8145430121741903e-5,3.060101878669332e-6,1.7161214489624806e-5
1.127397133191749e-5,1.1316237568456182e-5,8.635863905993287e-7
4.133730439369428e-5,4.007056054949151e-5,2.2304786095262616e-5
3.5322641639368575e-5,3.04342422955159e-5,1.0047380084011501e-8
